,ts,tx,ty,tz,rx,ry,rz,motor0,motor1
0,1543284883.094661,0.02990410976409912,-0.2584335229873657,-0.10363024187088012,-2.074584009186661,-0.03625518679048739,-1.553452529727379,860,4196
1,1543284883.095572,0.02990410976409912,-0.2584335229873657,-0.10363024187088012,-2.074584009186661,-0.03625518679048739,-1.553452529727379,860,4196
2,1543284883.105553,0.029894105529785154,-0.25843434658050535,-0.10362671737670898,-2.0745406494903613,-0.03629685305771469,-1.5535371425852122,860,4196
3,1543284883.115562,0.02989497151374817,-0.25843768939971923,-0.10362154569625855,-2.074563956580326,-0.03635242167608617,-1.5535698501899926,860,4196
4,1543284883.125592,0.029894756531715392,-0.2584417104721069,-0.10360477104187012,-2.0745809963680295,-0.03648944438711538,-1.5535586875033385,860,4196
5,1543284883.13559,0.029897009301185606,-0.2584402570724487,-0.10362104911804199,-2.0745556504673455,-0.03637102670248316,-1.553566059692092,860,4196
6,1543284883.145585,0.029900134110450744,-0.25843768939971923,-0.10363010864257811,-2.074554182001787,-0.03633606200028107,-1.553542590887297,860,4196
7,1543284883.155629,0.029889939117431638,-0.2584373260498047,-0.10362934560775756,-2.074507366322697,-0.036350585177623684,-1.553655193362049,861,4202
8,1543284883.165553,0.029895268249511716,-0.2584391185760498,-0.10362783164978027,-2.0744696548776322,-0.03641161804339986,-1.5537036830492559,861,4202
9,1543284883.175586,0.029909596347808837,-0.2584404750823974,-0.10362072210311889,-2.074373678846086,-0.03647634409751284,-1.5536624821336529,861,4202
10,1543284883.185587,0.029912109518051146,-0.25843955459594725,-0.10362252674102783,-2.0742201794194326,-0.03654482668806958,-1.5537184779640316,861,4202
11,1543284883.195584,0.029947799563407897,-0.25845123023986816,-0.10358151664733886,-2.074109376225501,-0.03685011470083756,-1.5536824038110257,861,4202
12,1543284883.205586,0.029948774552345275,-0.2584244150161743,-0.10365095281600951,-2.074054729838571,-0.036392875890733485,-1.55375076291323,861,4202
13,1543284883.215552,0.02994206166267395,-0.2584407657623291,-0.10360612754821777,-2.0741873385536476,-0.03673379341807797,-1.553750241978739,861,4212
14,1543284883.225586,0.02993659324645996,-0.2584443992614746,-0.10358802061080932,-2.074185945223765,-0.03688418485820148,-1.5538133555809157,861,4212
15,1543284883.235586,0.029941174483299256,-0.25844297008514405,-0.10358808116912842,-2.0741295760813303,-0.03689432280574091,-1.5538011998671137,861,4212
16,1543284883.245584,0.02993674464225769,-0.25844648246765134,-0.10357429809570312,-2.0742429954008332,-0.036949021802623,-1.5538111293523202,861,4212
17,1543284883.255596,0.029923140215873716,-0.25844376945495606,-0.10358850507736206,-2.074347211736112,-0.03684293287250211,-1.5538696751417282,861,4212
18,1543284883.265558,0.029943496894836424,-0.25844062042236327,-0.10358834762573242,-2.074425706629402,-0.036867703843328624,-1.553833796870794,861,4212
19,1543284883.275585,0.02993399226665497,-0.2584435272216797,-0.10358149242401123,-2.0746522401469987,-0.03692913724139122,-1.5539379277772667,861,4212
20,1543284883.285586,0.029925962233543393,-0.25844524707794186,-0.10356644973754882,-2.0750328886941785,-0.03714548701235984,-1.5541839601014966,861,4220
21,1543284883.295551,0.02991219732761383,-0.2584435756683349,-0.10354952974319458,-2.075431299644999,-0.037143236679095075,-1.5542947673071685,861,4220
22,1543284883.305551,0.029949546670913697,-0.2584383918762207,-0.10354447917938232,-2.0754542761766306,-0.03721293927466595,-1.5539547299793393,861,4220
23,1543284883.315561,0.02992098433971405,-0.25844573154449463,-0.10354254131317138,-2.075726839069631,-0.03728494120401128,-1.5543970007765713,861,4220
24,1543284883.325586,0.029918368220329283,-0.2584488079071045,-0.10352717161178589,-2.075933238863943,-0.0374159955170876,-1.5543511170059892,861,4220
25,1543284883.335586,0.029919682335853577,-0.2584467004776001,-0.10352963027954101,-2.0759958404405436,-0.03730081637166224,-1.5543607495260687,861,4220
26,1543284883.345585,0.029914622688293455,-0.2584500917434692,-0.10350950069427489,-2.0761932548277,-0.03744209053753778,-1.5544476604974349,861,4229
27,1543284883.355583,0.029927255153656004,-0.2584542339324951,-0.10349834585189818,-2.0765066612045224,-0.0374680423864588,-1.5543114918246779,861,4229
28,1543284883.365554,0.029923748826980588,-0.2584541370391846,-0.10348788137435913,-2.0767099222943135,-0.03747112934516444,-1.5543728290463903,861,4229
29,1543284883.375554,0.02995146334171295,-0.2584516662597656,-0.1034644453048706,-2.076837511412369,-0.037498341333348686,-1.5541990915555115,861,4229
30,1543284883.385552,0.02989927418231964,-0.25845043087005615,-0.10347954854965209,-2.07733424031952,-0.03743862325721213,-1.5545504972327073,861,4229
31,1543284883.395594,0.029938376688957213,-0.2584432123184204,-0.10346478443145751,-2.07760966038548,-0.03740547956243924,-1.5542956627816218,861,4229
32,1543284883.405603,0.02988172135353088,-0.25843768939971923,-0.1034880630493164,-2.0784056474416843,-0.03698365311027223,-1.5547113636361367,861,4229
33,1543284883.415555,0.029897984290122984,-0.2584388763427734,-0.10344678649902343,-2.078835816980935,-0.03743368454750675,-1.5542482102189603,861,4239
34,1543284883.425589,0.029890732431411743,-0.2584367931365967,-0.10343819932937622,-2.0794435358208783,-0.037358799730701345,-1.554282353836523,861,4239
35,1543284883.435585,0.029896739816665647,-0.2584339590072632,-0.10342698392868041,-2.079996579117408,-0.037488752498247464,-1.5542839968316016,861,4239
