,ts,tx,ty,tz,rx,ry,rz,motor0,motor1
0,1543203907.305869,0.0691236090183258,-0.26138549880981443,-0.09861591010093688,-1.3058762035679754,-0.06574306480199242,-1.584430086651015,709,4087
1,1543203907.30705,0.0691280297756195,-0.26138561992645265,-0.09861145906448364,-1.3059705072795216,-0.06579941083079235,-1.5844182637597828,709,4087
2,1543203907.317116,0.06912529253959655,-0.2613905614852905,-0.098593497467041,-1.305991075208445,-0.06592958644585269,-1.584399587945596,709,4087
3,1543203907.32713,0.0691259829044342,-0.2613923782348633,-0.09858668465614319,-1.3059603295023956,-0.06596291227220392,-1.5843728282596876,709,4087
4,1543203907.337121,0.06913460035324097,-0.2613900285720825,-0.0985874840259552,-1.3060190430599605,-0.06598217364682038,-1.5843052726275262,709,4087
5,1543203907.347117,0.06913541789054871,-0.2613893745422363,-0.09858554615974426,-1.3060020514542994,-0.06599976071464059,-1.5842681862213555,709,4087
6,1543203907.357117,0.06912207083702088,-0.26139051303863525,-0.09859504170417785,-1.3061214128234049,-0.06598727466147226,-1.5843957045388557,709,4087
7,1543203907.367118,0.06913153610229492,-0.26139559993743894,-0.09857655930519103,-1.306672836616799,-0.06617992443433854,-1.584461958389013,709,4087
8,1543203907.377132,0.06911897630691528,-0.2613973682403564,-0.09857536025047302,-1.3076144913459866,-0.06594370539263238,-1.5844010556894974,709,4093
9,1543203907.387119,0.0691211685180664,-0.2614002023696899,-0.09855012559890747,-1.3082527795857983,-0.0663243008508413,-1.5842752270157978,709,4093
10,1543203907.397125,0.06910304946899413,-0.2614010501861572,-0.0985570716381073,-1.3087349686441336,-0.06606024118297422,-1.5844483144487385,709,4093
11,1543203907.407114,0.06907841434478759,-0.26142304496765134,-0.09850714130401611,-1.3090612886471422,-0.06643904898798768,-1.5845704015245934,709,4093
12,1543203907.417123,0.06909737515449524,-0.2614146394729614,-0.09852578115463256,-1.309300798634795,-0.06634167744057369,-1.5844220308184307,709,4093
13,1543203907.427127,0.06908145437240601,-0.26141420345306393,-0.09853432593345642,-1.309526541413421,-0.06626715823050311,-1.584666271743725,709,4093
14,1543203907.437109,0.06908413710594177,-0.26142871322631833,-0.09848989429473877,-1.3099694386492382,-0.06664048226407977,-1.584695065496134,709,4103
