,ts,tx,ty,tz,rx,ry,rz,motor0,motor1
0,1543197958.898891,-0.06542035880088806,-0.2591636867523193,-0.1259277907371521,-2.2653006459934635,-0.013741683243128505,-1.5359248261846672,1666,3223
1,1543197958.899933,-0.06542035880088806,-0.2591636867523193,-0.1259277907371521,-2.2653006459934635,-0.013741683243128505,-1.5359248261846672,1666,3223
2,1543197958.909984,-0.06505341172218322,-0.25919430503845214,-0.12620575342178345,-2.2653981738889133,-0.013980251187176334,-1.536084918933489,1666,3223
3,1543197958.920017,-0.06462045001983642,-0.25917228603363035,-0.1266886212348938,-2.2655976079107,-0.013892115158120553,-1.536847062806915,1666,3223
4,1543197958.930018,-0.06419858865737915,-0.259184712600708,-0.12704890689849854,-2.2659844682318364,-0.013560345674733982,-1.5366270159225681,1666,3223
5,1543197958.940008,-0.06386792812347412,-0.2591763555526733,-0.12736372537612914,-2.2666096231939137,-0.01344767907349574,-1.53668650220356,1666,3223
6,1543197958.950013,-0.06351358323097228,-0.2591618942260742,-0.12773885993957518,-2.2672982234762276,-0.013351223665147025,-1.537203565049953,1666,3223
7,1543197958.960007,-0.06320611653327941,-0.2591442838668823,-0.1280692419052124,-2.267641318143727,-0.013172821523999631,-1.5371342390413836,1666,3223
8,1543197958.97001,-0.06282521076202392,-0.25918703804016113,-0.1284116265296936,-2.2689667050453104,-0.013544028230461046,-1.5372242278631905,1649,3242
9,1543197958.98001,-0.06245658621788024,-0.2591969211578369,-0.12868472032546996,-2.26888885516044,-0.01354083042022583,-1.5369453369416457,1649,3242
10,1543197958.990006,-0.06230735235214233,-0.25916421966552733,-0.12898447189331055,-2.2693553923056053,-0.013165048853374299,-1.5375520234880757,1649,3242
11,1543197959.000006,-0.06179234623908996,-0.25923982067108153,-0.12933477754592895,-2.2700451133301005,-0.01358215342974434,-1.5371541996152625,1649,3242
12,1543197959.010015,-0.061505148410797114,-0.25920782165527345,-0.12964655599594116,-2.2705292981648166,-0.01341698975271503,-1.5372048884996088,1649,3242
13,1543197959.019993,-0.06100332584381103,-0.25921661472320556,-0.13012416734695434,-2.2710988421573526,-0.013058527225458912,-1.5370465884310034,1649,3242
14,1543197959.030008,-0.06066597967147827,-0.2592444231033325,-0.13037979612350464,-2.2719465787303896,-0.013237942159849001,-1.5369726093795988,1631,3261
15,1543197959.040006,-0.06032752528190612,-0.2592294288635254,-0.1307144292831421,-2.272225828987787,-0.012930140889897466,-1.5369563041318237,1631,3261
